id,sku,name,brand,brand_type,dimension17,dimension18,dimension19,dimension20,country,price,currency,old_price,category_type,url,images,type,volume,main_product_sku,main_product_id,best_loyality_price,dimension29,dimension28,description,product_usage,product_composition,category,category_ru
201225,19000049706,темно-синий,Tkano,standard,Постельное белье,Унисекс,,,Россия,6490,,6490,"Комплект постельного белья, двуспальный",https://goldapple.ru/19000049706-temno-sinij,['https://goldapple.ru/media/catalog/product/4/6/4650118184022_1_xlfstlrouugehe8w.jpg'],simple,,19000049706,201225,,False,False,"Комплект постельного белья темно-синего цвета из органического стираного хлопка из коллекции Essential станет стильным акцентом в интерьере спальни. Стираный перкаль — красивый материал, который отличается мягкостью. Он получается особым способом пряжи – нити переплетаются крест на крест, что придает ткани дополнительную прочность. Перкаль создает ощущение прохлады в летнюю жару и сохраняет тепло зимними ночами. Он не деформируется, не линяет, и на нем не образуются катышки. Подходит для повседневного использования.",100% органический хлопок,,dlja-doma,для дома
214715,19000067648,Prestige Santorini Blue,ILUXE,standard,н/д,Унисекс,,,Россия,8990,,8990,Подарочный набор сомелье,https://goldapple.ru/19000067648-prestige-santorini-blue,"['https://goldapple.ru/media/catalog/product/4/6/4631157164961_1_issrnjvrn1oajklf.jpg', 'https://goldapple.ru/media/catalog/product/4/6/4631157164961_2_jaqvr3evrkwlzbfg.jpg']",simple,,19000067648,214715,,False,False,"Набор сомелье iLUXE Prestige разработан специально для самых важных и значимых клиентов, партнеров и сотрудников, а также как подарок для самых дорогих и близких людей.","1. Установите резак поверх горлышка горизонтально и вращайте, надавливая с двух сторон к центру, чтобы удалить фольгу.",Материал корпуса – алюминий и пластик.,dlja-doma,для дома
173622,19000019748,STEAMPOD 3.0 x BARBIE,L'Oreal Professionnel,standard,Стайлер,Унисекс,,,Франция,39000,,39000,Лимитированный профессиональный паровой стайлер,https://goldapple.ru/19000019748-steampod-3-0-x-barbie,"['https://goldapple.ru/media/catalog/product/3/4/3474637050894_1_b2lmmuihzqlntdoy.jpg', 'https://goldapple.ru/media/catalog/product/3/4/3474637050894_2_jwviqkvk8hgtmk0h.jpg', 'https://goldapple.ru/media/catalog/product/3/4/3474637050894_3_rr0xbv3y2rbgojxz.jpg']",simple,,19000019748,173622,,False,False,"Лимитированный профессиональный паровой стайлер Barbie x Steampod для бесконечного разнообразия образов. Barbie помогает мечтать, L’Oréal Professionnel позволяет мечтам стать реальностью.","Предварительно нанесите на влажные волосы крем или молочко Steampod, активируемое паром (в соответствии с типом волос), и подсушите феном. Разделите волосы на небольшие тонкие пряди и медленно ведите стайлером от корней к кончикам волос (стрелки на приборе должны указывать вниз). Вам нужно выпрямить каждую прядь всего один раз. Как финальный штрих укладки нанесите защитную сыворотку Steampod на высушенные кончики волос для эффекта безупречной гладкости.","Марка L’Oréal Professionnel стала известной в 1909 году, когда Эжен Шуэллер создал первую безопасную краску для волос. Этот революционный момент предварил развитие отрасли. С тех времен бренд стремится к постоянному совершенствованию, развитию новых технологий и применению инновационных подходов, чтобы оставаться новатором.",tehnika,техника
224665,19000077743,Blue Valentine,MORФEUS,standard,Постельное белье,Унисекс,,,Россия,16934,,16934,"Комплект постельного белья, Евро, сатин",https://goldapple.ru/19000077743-blue-valentine,"['https://goldapple.ru/media/catalog/product/4/6/4680156916705_1_rfveh0r6lj2x4rx1.jpg', 'https://goldapple.ru/media/catalog/product/4/6/4680156916705_2_ftgjcohabcl3iciz.jpg']",simple,,19000077743,224665,,False,False,Евро-комплект постельного белья Blue Valentine из гладкого сатина от,Перед первым использованием рекомендуем постирать постельное белье при температуре 40 градусов с кондиционером. Гладить по настроению.,"100% хлопок, сатин.",dlja-doma,для дома
222155,19000070441,Female Multiple,Solgar,standard,н/д,Женский,Женское здоровье,,США,2894,,2894,Мультивитаминный и минеральный комплекс для женщин в таблетках,https://goldapple.ru/19000070441-female-multiple,"['https://goldapple.ru/media/catalog/product/3/3/33984003699_1_yppqezvvxzncezrn.jpg', 'https://goldapple.ru/media/catalog/product/3/3/33984003699_2_wbpqotb98hfgjjsg.jpg', 'https://goldapple.ru/media/catalog/product/3/3/33984003699_3_ul61yxp2cmvc9sk7.jpg']",simple,60,19000070441,222155,,False,False,Данный комплекс создан специально для женщин и благодаря широкому составу компонентов направлен на эффективное поддержание женского здоровья.,Женщинам по 1 таблетке 3 раза в день во время еды.,Кальций 133 мг,zdorov-e-i-apteka,здоровье и аптека
155448,19760318176,TIME CONTROL +,TALIKA,standard,Массажер,Женский,,,Франция,18450,,18450,Косметический прибор для интенсивного антивозрастного ухода за кожей вокруг глаз,https://goldapple.ru/catalog/product/view/id/155448,"['https://goldapple.ru/media/catalog/product/3/1/3139434551813_1_vbjnutnowmkxt3qp.jpg', 'https://goldapple.ru/media/catalog/product/3/1/3139434551813_2_ktqc3xhaxdlgn1kz.jpg', 'https://goldapple.ru/media/catalog/product/3/1/3139434551813_3_dqhk1jbymvff7szj.jpg']",simple,1,19760318176,155448,,False,True,Косметический прибор,"включите прибор, нажав кнопку, и подождите, пока загорится зеленый свет. Выберите желаемую программу. Если кнопка остается зеленой, программа «Детокс» активна. Чтобы сменить программу, зажмите кнопку на 1 секунду. Если кнопка стала оранжевой, программа «Восстановление» активна. Поместите треугольный наконечник на кожу, чтобы начать уход. Используйте прибор утром и вечером отдельно или после нанесения средства для кожи вокруг глаз.",АБС-терполимер Термопластический эластомер USB-кабель позолоченный лицевой электрод Силикон,tehnika,техника
169605,12241-19000013502,лазурно-голубой,Belle YOU,standard,Комбинезон,Женский,,,Россия,4289,,4289,Комбинезон в рубчик укороченный,https://goldapple.ru/12241-19000013502-lazurno-goluboj,"['https://goldapple.ru/media/catalog/product/8/0/8000984220311_1.jpeg_cjiggn2hvwbhu7pr.jpg', 'https://goldapple.ru/media/catalog/product/8/0/8000984220311_2.jpeg_6g6hwdcbdds6cmgw.jpg', 'https://goldapple.ru/media/catalog/product/8/0/8000984220311_3.jpeg_tpvtzubux681ke4d.jpg']",configurable,XS,19000013502,169604,,False,False,Базовый комбинезон с шортами выполнен из мягкой микрофибры в рубчик. Созданное по современной бесшовной технологии изделие на широких бретелях деликатно корректирует фигуру. Вставка-ластовица сохраняет эстетику и обеспечивает комфорт при движении. Рекомендуем эту модель для беременных. При выборе размера ориентируйтесь на рост. При правильном деликатном уходе изделия,"нательное, для домаших тренировок","96% полиамид, 4% эластан",nizhnee-bel-jo,нижнее бельё
148215,22470300026,из серебра с алмазной гранью,SOKOLOV,standard,Серьги,Женский,,,,3790,,3790,Серьги,https://goldapple.ru/22470300026-iz-serebra-s-almaznoj-gran-u,"['https://goldapple.ru/media/catalog/product/9/1/9178020133679_1_ju03vevzxjm9dkg2.jpg', 'https://goldapple.ru/media/catalog/product/9/1/9178020133679_2_6y9mj1berslegpuh.jpg', 'https://goldapple.ru/media/catalog/product/9/1/9178020133679_3_ftodkbdqmh22cygq.jpg']",simple,,22470300026,148215,,False,False,,,,ukrashenija,украшения
148216,22470300027,из серебра с алмазной гранью,SOKOLOV,standard,Серьги,Женский,,,,3990,,3990,Серьги,https://goldapple.ru/22470300027-iz-serebra-s-almaznoj-gran-u,"['https://goldapple.ru/media/catalog/product/9/1/9126014604612_1_jpmyas4eqak3jybl.jpg', 'https://goldapple.ru/media/catalog/product/9/1/9126014604612_2_4qitvp31r2qwhxs0.jpg', 'https://goldapple.ru/media/catalog/product/9/1/9126014604612_3_lknr7at8ojouzjwf.jpg']",simple,,22470300027,148216,,False,False,,,,ukrashenija,украшения
200485,19000046442,Catnip Chaser,Petstages,standard,игрушка для животных,,,,США,1539,,1539,Игрушка для кошек Petstages Трек с контейнером для кошачьей мяты,https://goldapple.ru/19000046442-catnip-chaser,"['https://goldapple.ru/media/catalog/product/8/7/871864007371_1_yjqzrrgna4y1q7ro.jpg', 'https://goldapple.ru/media/catalog/product/8/7/871864007371_2_1ih5qw1dotxs91g9.jpg', 'https://goldapple.ru/media/catalog/product/8/7/871864007371_3_8h5xl0yc4crqxzrs.jpg']",simple,1,19000046442,200485,,False,False,"Игрушка трек с пластиковым мячиком, тубом кошачьей мяты и контейнером для закладки мяты. Аромат мяты привлекает кошку, а шарики, катаясь, увлекают вашу любимицу в игру.",Подбирайте игрушки в соответствии с весом и двигательной активностью вашего питомца.,Пластик,tovary-dlja-zhivotnyh,товары для животных
149704,19760314075,с фианитами,SOKOLOV,standard,Браслет,Женский,,,,2590,,2590,Браслет из серебра,https://goldapple.ru/19760314075-s-fianitami,"['https://goldapple.ru/media/catalog/product/9/1/9128016968761_1_za0nxudjicdgeyto.jpg', 'https://goldapple.ru/media/catalog/product/9/1/9128016968761_2_wmgz4r3pkjraasrd.jpg', 'https://goldapple.ru/media/catalog/product/9/1/9128016968761_3_ksrclwyf78k06cit.jpg']",simple,,19760314075,149704,,False,False,,,,ukrashenija,украшения
222831,19000075163,Гибкий ум,МИФ,standard,,Унисекс,,,,867,,867,Книга,https://goldapple.ru/19000075163-gibkij-um,['https://goldapple.ru/media/catalog/product/9/7/9785001951780_1_duvc79kl1r9rlv1w.jpg'],simple,1,19000075163,222831,,False,False,"Эта книга призвана развенчать мифы о человеческом мозге, показать, сколько еще неизведанного перед нами, и научить быть более творческими.",картон/бумага,"Мы издаем книги больше 17 лет. За эти годы выпустили 4000+ книг: по детству и бизнесу, по психологии и творчеству, научпоп и комиксы, книги о здоровье и хорошую прозу.",lajfstajl,лайфстайл
200224,19000046406,"New Comfort XS Cord 3 m, black",Flexi,standard,поводок,,,,Германия,1646,,1646,Поводок-рулетка для собак до 8 кг ,https://goldapple.ru/19000046406-new-comfort-xs-cord-3-m-black,"['https://goldapple.ru/media/catalog/product/4/0/4000498042748_1_yrhox56yuzt1zuxt.jpg', 'https://goldapple.ru/media/catalog/product/4/0/4000498042748_2_hulopldzoheprlwm.jpg', 'https://goldapple.ru/media/catalog/product/4/0/4000498042748_3_ldmzqrkphhimwr0t.jpg']",simple,1,19000046406,200224,,False,False,"Благодаря яркому двухцветному дизайну этот поводок - приманка для глаз. Технические детали прорезиненная и регулируемая ручка под размер руки повышают комфорт и лёгкость в обращении, а также комфортная тормозная система. Так что наслаждайтесь прогулкой!","Flexi позволит вам вам и вашему питомцу оптимально насладиться прогулкой: вам не надо регулировать длину троса/ремня вручную, flexi регулирует это автоматически. Поводки не провисают, так как они всегда находятся под легким натяжением, благодаря чему трос/ремень остаются чистыми.",Ударопрочный пластик,tovary-dlja-zhivotnyh,товары для животных
151709,19760331641,анклет,Nothing but Love,standard,Браслет,Женский,,,,529,,529,Браслет на ногу,https://goldapple.ru/19760331641-anklet,"['https://goldapple.ru/media/catalog/product/4/8/4890202356007_1_tahsic5n1ddtskye.jpg', 'https://goldapple.ru/media/catalog/product/4/8/4890202356007_2_tskstx8a9xz6lxtq.jpg', 'https://goldapple.ru/media/catalog/product/4/8/4890202356007_3_xiqolxtk0pndau80.jpg']",simple,31,19760331641,151709,,False,False,,,,ukrashenija,украшения
